,variables,VIF
0,0__number_peaks__n_5,12.684880561204084
1,0__number_peaks__n_3,6.0283581935232595
2,0__energy_ratio_by_chunks__num_segments_10__segment_focus_0,19.05615889622952
3,0__minimum,1.8971178547341574
4,"0__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",526659616.7100302
5,"0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",6.693339364762154
6,0__spkt_welch_density__coeff_2,5142771562.387623
7,0__spkt_welch_density__coeff_5,1685017603.6652002
8,0__spkt_welch_density__coeff_8,2079317322.7843056
9,0__quantile__q_0.9,1531.5378244998305
10,"0__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",5633206888.496612
11,"0__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",20585672521.44568
12,0__longest_strike_below_mean,84.31862682922629
13,"0__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",5626844367.027429
14,"0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",44241203060.71914
15,"0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",7.921963419455367
16,"0__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",50502939471.49421
17,0__absolute_sum_of_changes,45635417482.335434
18,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",148276417455.32202
19,0__mean_abs_change,148276417455.32202
20,"0__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",77728007652.16896
21,"0__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",85256694445.14796
22,"0__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",55439153411.34358
23,"0__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",129293034590.41113
24,"0__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",102260410925.63654
25,"0__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",72043761635.69388
26,"0__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",787630380.2211815
27,"0__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",71274712594.7868
28,"0__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",105686049500.63351
29,"0__fft_coefficient__attr_""abs""__coeff_2",1205703298.1675632
30,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",inf
31,0__cid_ce__normalize_False,12421358768.594381
32,"0__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",63740255569.21253
33,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",inf
34,0__mean_n_absolute_max__number_of_maxima_7,60603527365.79305
35,"0__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",41291099962.597206
36,"0__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",63884017325.26432
37,"0__fft_coefficient__attr_""real""__coeff_0",143037259289.8476
38,"0__fft_coefficient__attr_""abs""__coeff_0",143037259289.8476
39,0__sum_values,137175219377.1282
40,0__mean,171775102119.5551
41,"0__fft_coefficient__attr_""abs""__coeff_1",4301450796.465215
42,"0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",119417314.39756726
43,0__energy_ratio_by_chunks__num_segments_10__segment_focus_9,7.650262491942664
44,0__abs_energy,inf
45,0__root_mean_square,12882481606.70754
46,0__standard_deviation,8535631235.853778
47,0__variance,inf
48,"0__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",55865875585.29168
49,"0__linear_trend__attr_""stderr""",5390459603.1130705
50,"0__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",43689910142.22307
51,0__absolute_maximum,69112304086.95813
52,0__maximum,69112304086.95813
53,"0__fft_coefficient__attr_""abs""__coeff_11",600409622.3356365
54,0__energy_ratio_by_chunks__num_segments_10__segment_focus_8,330.17645273535345
55,"0__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",176611750092960.62
56,"0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",1474011729.4406328
57,"0__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",44985387712.528366
58,"0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",6.6070411421533715
59,"0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",714419473.4321462
60,"0__fft_coefficient__attr_""abs""__coeff_12",824855113.6763843
61,0__energy_ratio_by_chunks__num_segments_10__segment_focus_7,457.4349993954452
62,"0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",50454281571.6886
63,"0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",43912281002.842224
64,"0__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",88234941074.24416
65,"0__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",50082009100.63994
66,"0__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",21702858.886477984
67,"0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",102.84053234784406
68,"0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",900719925474099.2
69,"0__fft_coefficient__attr_""abs""__coeff_10",383828150.6702459
70,"0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",inf
71,"0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",2674318780.755245
72,"0__fft_coefficient__attr_""abs""__coeff_9",441493817.66659635
