,variables,VIF
0,0__number_peaks__n_5,8.941323372372041
1,0__number_peaks__n_3,5.451773873757144
2,0__energy_ratio_by_chunks__num_segments_10__segment_focus_0,26.39957168476058
3,0__minimum,2.451093638793262
4,"0__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",214457125112880.75
5,"0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",23.034931318314893
6,0__spkt_welch_density__coeff_2,7495280.047912771
7,0__spkt_welch_density__coeff_5,2275056.4307385692
8,0__spkt_welch_density__coeff_8,3726758.961605885
9,0__quantile__q_0.9,59.84285151317585
10,"0__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",1286742750677284.5
11,"0__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",9007199254740992.0
12,0__longest_strike_below_mean,40.09823218002054
13,"0__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",2251799813685248.0
14,"0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",9007199254740992.0
15,"0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",31.025241979453114
16,"0__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",9007199254740992.0
17,0__absolute_sum_of_changes,481848780545.71185
18,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",inf
19,0__mean_abs_change,inf
20,"0__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",9007199254740992.0
21,"0__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",9007199254740992.0
22,"0__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",inf
23,"0__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",9007199254740992.0
24,"0__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",9007199254740992.0
25,"0__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",9007199254740992.0
26,"0__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",230953827044640.8
27,"0__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",inf
28,"0__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",inf
29,"0__fft_coefficient__attr_""abs""__coeff_2",6713369.108144024
30,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",inf
31,0__cid_ce__normalize_False,3320877432.1159725
32,"0__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",inf
33,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",inf
34,0__mean_n_absolute_max__number_of_maxima_7,415020930504.5842
35,"0__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",inf
36,"0__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",inf
37,"0__fft_coefficient__attr_""real""__coeff_0",9007199254740992.0
38,"0__fft_coefficient__attr_""abs""__coeff_0",9007199254740992.0
39,0__sum_values,9007199254740992.0
40,0__mean,9007199254740992.0
41,"0__fft_coefficient__attr_""abs""__coeff_1",19761836.53353986
42,"0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",2260038.440860572
43,0__energy_ratio_by_chunks__num_segments_10__segment_focus_9,15.765551793000364
44,0__abs_energy,inf
45,0__root_mean_square,17531305845.600613
46,0__standard_deviation,14046971795.547537
47,0__variance,inf
48,"0__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",inf
49,"0__linear_trend__attr_""stderr""",2448744364.503043
50,"0__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",inf
51,0__absolute_maximum,281474976710656.0
52,0__maximum,281474976710656.0
53,"0__fft_coefficient__attr_""abs""__coeff_11",3461958.985791601
54,0__energy_ratio_by_chunks__num_segments_10__segment_focus_8,776.5412760311386
55,"0__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",1216202977955.8455
56,"0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",251958432.19084752
57,"0__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",inf
58,"0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",15.304873391936008
59,"0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",9457376.79271848
60,"0__fft_coefficient__attr_""abs""__coeff_12",4751385.407417977
61,0__energy_ratio_by_chunks__num_segments_10__segment_focus_7,1091.1621267841674
62,"0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",inf
63,"0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",inf
64,"0__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",inf
65,"0__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",inf
66,"0__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",256647.17208720502
67,"0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",41.828666842268646
68,"0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",2205484636322.476
69,"0__fft_coefficient__attr_""abs""__coeff_10",2352194.2817969457
70,"0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",243437817695702.5
71,"0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",70050188.21044154
72,"0__fft_coefficient__attr_""abs""__coeff_9",3141312.4783163266
73,0__energy_ratio_by_chunks__num_segments_10__segment_focus_6,68.53967168133917
74,"0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",71485708370960.25
75,"0__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",inf
76,"0__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",inf
77,"0__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",550739.9064681169
78,"0__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)",120095990063213.23
79,0__index_mass_quantile__q_0.3,22.275397683750935
80,"0__linear_trend__attr_""intercept""",inf
81,"0__fft_coefficient__attr_""abs""__coeff_5",2273256.654740464
82,"0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",inf
83,"0__fft_coefficient__attr_""abs""__coeff_8",2061329.1808259517
