,variables,VIF
0,0__number_peaks__n_5,12.428560024610658
1,0__number_peaks__n_3,6.030956944011387
2,0__energy_ratio_by_chunks__num_segments_10__segment_focus_0,19.103636583653582
3,0__minimum,1.8933165133416194
4,"0__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",643147192.602935
5,"0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",6.628061420844997
6,0__spkt_welch_density__coeff_2,5129130421.63685
7,0__spkt_welch_density__coeff_5,1668071218.3689694
8,0__spkt_welch_density__coeff_8,2077231845.895959
9,0__quantile__q_0.9,1548.029622734347
10,"0__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",4397816742.358184
11,"0__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",9524644623.18475
12,0__longest_strike_below_mean,84.27633153726484
13,"0__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",6992162814.146254
14,"0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",34752678658.61946
15,"0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",8.157808770694787
16,"0__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",47064721075.67179
17,0__absolute_sum_of_changes,57280579309.88185
18,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",142994114220.3682
19,0__mean_abs_change,142994114220.3682
20,"0__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",89443206803.58075
21,"0__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",115700898595.24197
22,"0__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",59548187246.649734
23,"0__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",121513649305.10612
24,"0__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",120269177679.07109
25,"0__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",60266561762.26443
26,"0__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",792686225.8560123
27,"0__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",71231310832.27356
28,"0__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",131128246538.66635
29,"0__fft_coefficient__attr_""abs""__coeff_2",1205437699.8745997
30,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",inf
31,0__cid_ce__normalize_False,12025071264.68188
32,"0__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",101957135876.53795
33,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",inf
34,0__mean_n_absolute_max__number_of_maxima_7,60857398430.7354
35,"0__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",70157176442.45473
36,"0__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",110509646587.25728
37,"0__fft_coefficient__attr_""real""__coeff_0",136319872487.529
38,"0__fft_coefficient__attr_""abs""__coeff_0",136319872487.529
39,0__sum_values,137868108350.28763
40,0__mean,164349954470.23068
41,"0__fft_coefficient__attr_""abs""__coeff_1",3822031956.666064
42,"0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",110044257.10262106
43,0__energy_ratio_by_chunks__num_segments_10__segment_focus_9,7.49760186134312
44,0__abs_energy,inf
45,0__root_mean_square,11879306769.671564
46,0__standard_deviation,10538889895.48043
47,0__variance,inf
48,"0__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",121297645403.679
49,"0__linear_trend__attr_""stderr""",5109505190.931973
50,"0__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",43668304962.286156
51,0__absolute_maximum,75148293033.82301
52,0__maximum,75148293033.82301
